Id,Designator,Package,Quantity,Designation,Supplier and ref
1,D3,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,LED_2,
2,D2,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,LED_1,
3,R11,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,160R,
4,R10,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1K,
5,U2,ESP-12E_SMD,1,ESP-12E,
6,U5,SolderWirePad_1x03_P3.175mm_Drill0.8mm,1,DS18B20,
7,J4,SolderWirePad_1x04_P3.175mm_Drill0.8mm,1,LED,
8,J2,SolderWirePad_1x04_P3.175mm_Drill0.8mm,1,SR_04,
9,K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,G5Q-1,
10,U4,SOIC-16W_5.3x10.2mm_P1.27mm,1,ULN2003A,
11,U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ILD74,
12,U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
13,SW2,SW_SPST_TL3342,1,RST,
14,SW1,SW_SPST_TL3342,1,FLASH,
15,"R9,R6,R5,R4,R3,R2,R1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7,4K7,
16,"R8,R7",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,10K,
17,Q1,SOT-23,1,2N7002,
18,J5,TerminalBlock_bornier-3_P5.08mm,1,POWER,
19,J3,PinHeader_1x04_P2.54mm_Vertical,1,PROG,
20,J1,TerminalBlock_bornier-2_P5.08mm,1,12V,
21,D1,D_SMA_Handsoldering,1,D_Small,
22,C2,C_2816_7142Metric_Pad3.20x4.45mm_HandSolder,1,100uF,
23,C1,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,10uF,
